kooi_id,Family,Genus,Species,First,Seco,Third,Fourth,Fifth,Sixth,Remaining
40,Nymphalidae,Oeneis,chryxus,,,,530,,,
41,Lycaenidae,Lycaena,heteronea,360,437,500,568,,,
42,Lycaenidae,Lycaena,rubidus,360,437,500,568,,,
43,Riodinidae,Apodemia,mormo,,,505,600,,,
44,Lycaenidae,Pseudozizeeria,maha,363,438,554,,,,
45,Castnidaee,Payasandisia,archon,360,465,550,580,,,
46,Crambidae,Ostrinia,nubilalis,356,413,480,530,,,
47,Erebidae,Arctia,plantaginis,349,457,521,,,,
48,Erebidae,Lymantria,dispar,340-380,360,480-520,,,,
49,Arctiidae,Arctia,plantaginis,349,457,521,,,,
50,Bombycidae,Bombyx,mandarina,380,,520,,,,
51,Bombycidae,Bombyx,mori,380,,520,,,,
52,Epicopeiidae,Epicopeia,hainesii,380,420,500,,,,
53,Geometridae,Arichanna,gaschkevitchii,380,500,540,,,,
54,Hepialidae,Phassus,excrescens,400,440-460,520-540,580,,,
55,Noctuidae,Anadevidia,peponis,420,460,500-520,,,,
56,Noctuidae,Helicoverpa,armigera,400,483,562,,,,
57,Noctuidae,Heliothis,virescens,365,480-575,,,,,
58,Noctuidae,Heliothis,zea,365,480-575,,,,,
59,Noctuidae,Mamestra,brassicae,380,460,540,580,,,
60,Noctuidae,Phalaenoides,glycinae,380,475,520,,,,
61,Noctuidae,Spodoptera,exempta,355,465,515,560,,,
62,Noctuidae,Trichoplusia,ni,360,,540-550,,,,
63,Pyralidae,Amyelois,transitella,350,430,530,,,,
64,Pyralidae,Ephestia,cautella,350,,546,,,,
65,Pyralidae,Galleria,mellonella,,,510,,,,
66,Saturniidae,Actias,artemis aliena,380,460,540,580,,,
67,Saturniidae,Antherea,polyphemus,330-340,460-480,520-530,,,,
68,Saturniidae,Samia,cyntia ricini,400,480-520,,560,,,
69,Sesiidae,Synathedon,tipulif ormis,350,470,530,,,,
70,Sphingidae,Ampelophaga,rubiginosa,,460,540,580,,,
71,Sphingidae,Callambulyx,tatarinovii,380,460,540,580,,,
72,Sphingidae,Cephonodes,hylas,380,460,520,,,,
73,Sphingidae,Deilephila,elpenor,345-350,440-450,520-525,,,,
74,Sphingidae,Macroglossum,stellatarum,349,440,521,,,,
75,Sphingidae,Macroglossum,pyrrhosticum,,,,,,,
76,Sphingidae,Manduca,sexta,345,440,520,,,,
77,Sphingidae,Marumba,sperchius,,460,540,600,,,
78,Tortricidae,Cydia,pomonella,365,,550,580,,,
79,Tortricidae,Cydia,strobilella,352,436,526,,,,
80,Tortricidae,Adoxophyes,orana,344,481,533,,,,
81,Libellulidae,Sympetrum,rubicundulum,340,410,490,540,620,,
82,Libellulidae,Libellula,needhami,,430,,519,,,
83,Aeschnidae,Anax,junius,380,,,,,,
84,Aeschnidae,Aeschna,cyanea and mixta,356,412-420,458,519,615,,
85,Corduliidae,Hemicordulia,tau,330,410,460,525,630,,
86,Caloptery-gidae,Calypteryx,splendens and virgo,366,,480,552,640,,
87,Coenagrio-nidae,Ischnura,elegans,370,440,540,,600,,
88,Coenagrio-nidae,Ischnura,heterosticta,360,450,,525,,,
89,Blattidae,Periplaneta,americana,365,,507,,,,
90,Blattidae,Blatta,orientalis,361,,503,,,,
91,Ectobiidae,Blatella,germanica,365,,490,,,,
92,Order Orthoptera,,,,,,,,,
93,Acrididae,Locusta,migratoria,360,430,530,,,,
