Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE
wt_mnm,H3_P1_V_SASA_PKA_PKB_,BayesianRidge,0.9364019742396618,8.832057597028475,0.018711406318334543,190.94096514817952,13.655629543210404
wt_mnm,H3_P1_V_SCT_PKA_PKB_,gbr,0.9505120712103482,8.044184925955252,0.016968635760786728,149.93185711615646,12.091006733561075
wt_mnm,H3_P1_V_SCT_PKA_PKB_,rf,0.9491433273260151,7.457491052685178,0.01579301798470592,151.81097828127093,12.139143796545
wt_mnm,H3_P1_V_SCT_PKA_PKB_,xgb,0.9421021079805012,7.733608440367559,0.01637484794870836,172.35680521664216,12.955162647428455
wt_mnm,H3_P1_V_SCT_PKA_PKB_,BayesianRidge,0.9251460269816484,9.597754310575592,0.020499837355974593,224.2681394631416,14.821771445907459
wt_mnm,H3_P1_NCI_MASS_SASA_SCT_,gbr,0.9524273728828614,8.017890896831597,0.016953253136345266,143.42967994146915,11.833912523092955
wt_mnm,H3_P1_NCI_MASS_SASA_SCT_,rf,0.9513158985527536,7.458241149743513,0.015859955529531657,145.83336501827517,11.922137926770583
wt_mnm,H3_P1_NCI_MASS_SASA_SCT_,xgb,0.9471692398161368,7.556515830375714,0.015991566039535637,159.1579644472782,12.456573641393806
wt_mnm,H3_P1_NCI_MASS_SASA_SCT_,BayesianRidge,0.9293857188956173,9.618840745640963,0.020589112453694443,214.4609932135615,14.419123368057152
wt_mnm,H3_P1_NCI_MASS_SASA_PKA_,rf,0.9541455575250686,7.257970260625501,0.01533972623053767,138.4874525675975,11.60357908795808
wt_mnm,H3_P1_NCI_MASS_SASA_PKA_,gbr,0.9507081160626208,8.02210389028936,0.01687223624985413,148.7486971730657,12.048124382714438
wt_mnm,H3_P1_NCI_MASS_SASA_PKA_,xgb,0.9478441507550981,7.376268835325223,0.01556448637302788,156.94736719573658,12.330447853022088
wt_mnm,H3_P1_NCI_MASS_SASA_PKA_,BayesianRidge,0.9429651070075309,8.589810123571544,0.018250191201005052,173.13050869805352,12.937134712530346
wt_mnm,H3_P1_NCI_MASS_SASA_PKB_,rf,0.9561899698032598,7.078205547727244,0.01499023913488894,132.81229343126978,11.319562750598976
wt_mnm,H3_P1_NCI_MASS_SASA_PKB_,gbr,0.9519799159080978,8.027784563433396,0.01697024513414163,145.537086122334,11.932246167495004
wt_mnm,H3_P1_NCI_MASS_SASA_PKB_,xgb,0.9475104164192466,7.386857989187071,0.01558295647011836,158.63434692686,12.378672368133127
wt_mnm,H3_P1_NCI_MASS_SASA_PKB_,BayesianRidge,0.9413145123296112,8.842713205228474,0.018801084643069087,176.1128861155964,13.099904944263155
