Tree,Relation_Handling,N_Folds,Model,Threshold,R2,MAE,MAPE,MSE,RMSE
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,15,0.8296709151283143,14.43977347808386,0.03178093880855814,549.1796986011638,21.789805948580568
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,rf,15,0.823354687210691,14.553296361442383,0.03239674158901553,616.0012891040501,22.358580887909905
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,15,0.8182345891356609,16.712300475453507,0.03702270731418292,641.4285781089383,23.154005537501536
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,15,0.8182172673223147,16.71273932116013,0.037023347927731834,641.4374558645596,23.154753557572942
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,HubR,15,0.8155911541557928,14.618693915211695,0.031112285973094764,602.056653576761,22.050628062129476
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Adaboost,15,0.8035216680671103,17.48579950438905,0.03892749727180137,667.3424428378493,23.537866146305994
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,et,15,0.7388114160929641,15.484870455595834,0.03370810255320938,683.1769431915919,24.89717989149926
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,dt,15,0.7101544603798087,17.346450862768,0.03835487015193609,831.0963605773784,27.78747287439173
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lr,15,-4.659689341900792e+17,17928416912.07668,40253601.78135327,1.4459336454978058e+21,25113746378.175373
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,BayesianRidge,17,0.8810854015105174,13.303693068565355,0.029206219904403908,430.42492215640164,19.6214189771634
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,xgb,17,0.8770323398204124,13.342781723671157,0.029364672244866528,435.593285668571,19.853751810414312
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,gbr,17,0.8402581039184558,14.636518623568358,0.03226159754337193,560.2980932662551,21.840975506772995
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,lgbm,17,0.8318065018893911,15.065516719099485,0.033145836178143706,580.1649148376888,22.629854844976837
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,Lasso,17,0.8173680902592435,17.070234855644873,0.03805087066377148,644.9994013274004,23.51539764380807
wt_vpod_1.2_LG_F_R7.treefile,leave_out,15,LassoLars,17,0.8173583931790466,17.071944505837784,0.0380543316640446,645.0216701834826,23.516531197928433
