Family,Genus,Species,LambdaMax
Abyssocottidae,Abyssocottus,korotneffi,481
Salmonidae,Oncorhynchus,keta,524
Salmonidae,Oncorhynchus,keta,505
Salmonidae,Oncorhynchus,kisutch,531
Salmonidae,Oncorhynchus,kisutch,505
Salmonidae,Oncorhynchus,mykiss,521
Salmonidae,Oncorhynchus,tshawytscha,524
Salmonidae,Oncorhynchus,tshawytscha,508
Salmonidae,Salmo,salar,515
Salmonidae,Salmo,trutta trutta,532
Scombridae,Thunnus,albacares,483
Stromateidae,Peprilus,stimillimus,496
Trichiuridae,Aphanopus ,carbo,477
Abyssocottidae,Asprocottus,herzensteini,488
Abyssocottidae,Cottinella,boulengeri,482
Abyssocottidae,Cyphocottus,eurystomus,489
Abyssocottidae,Limnocottus,bergianus,490
Abyssocottidae,Limnocottus,griseus,485
Abyssocottidae,Limnocottus,pallidus,488
Abyssocottidae,Procottus,jettelesii,505
Agonidae,Bothragonus ,swani,500
Agonidae,Podothecus,acipenserinus,500
Comephoridae,Comephorus,baicalensis,501
Comephoridae,Comephorus,dybowskii,498
Cottidae,Artedius,fenestralis,498
Cottidae,Artedius,harringtoni,501
Cottidae,Ascelichthys,rhodorus,501
Cottidae,Bero,elegance,507
Cottidae,Clinocottus,globiceps,523
Cottidae,Enophrys,bison,501
Cottidae,Enophrys,diceraus,500
Cottidae,Gymnocanthus,intermedius,504
Cottidae,Gymnocanthus,pistilliger,501
Cottidae,Hemilepidotus,hemilepidotus,501
Cottidae,Icelinus,borealis,495
Cottidae,Jordania,zonope,500
Cottidae,Leptocottus,armatus,509
Cottidae,Megalocottus ,platycephalus,514
Cottidae,Microcottus,sellaris,505
Cottidae,Myoxocephalus,jaok,507
Cottidae,Myoxocephalus,potyacanthocephalus,500
Cottidae,Myoxocephalus,scorpius,506
Cottidae,Myoxocephalus,stelleri,506
Cottidae,Oligocottus,maculosus,520
Cottidae,Ruscarius,meanyi,496
Cottidae,Scorpaenichthys,marmoratus,500
Cottidae,Taurulus,bubalis,507
Cottidae,Triglopsis,quadricornis,512
Cottocomephoridae,Batrachocottus,baicalensis,509
Cottocomephoridae,Batrachocottus,multiradiatus,489
Cottocomephoridae,Batrachocottus,nikolskii,488
Cottocomephoridae,Cottocomephorus,grewingkii,503
Cottocomephoridae,Cottocomephorus,inermis,494
Cottocomephoridae,Leocottus,kesslerii,516
Cottocomephoridae,Paracottus,knerii,520
Cyclopteridae,Eumicrotremus,orbis,494
Hemiramphidae,Dermogenys,pusilla,507
Hemitripteridae,Blepsias,cirrhosus,500
Hemitripteridae,Hemitripterus,americanus,505
Hemitripteridae,Hemitripterus,villosus,503
Hemitripteridae,Nautichthys,oculofasciatus,501
Hexagrammidae,Hexagrammos,decagrammus,497
Hexagrammidae,Hexagrammos,octogrammus,523
Hexagrammidae,Hexagrammos,stelleri,496
Hexagrammidae,Ophiodon,elongatus,499
Hexagrammidae,Pleurogrammus ,azonus,504
Ictaluridae,Ameiurus,catus,541
Liparidae,Liparis,dennyi,494
Liparidae,Liparis,florae,495
Liparidae,Liparis,pulchellus,490
Liparidae,Liparis ,greeni,495
Psychrolutidae,Cottunculus,thomsonii,486
